text,rating,confidence
"Очень приятный отель. Стильно оформлен, чистые уютные номера, дружелюбный персонал. Ставлю максимальный балл даже несмотря на аварийно сработавшую посреди ночи пожарную сигнализацию. И пожалуйста - сделайте что-то с кофейным аппаратом на завтраке, кофе ужасный, пить невозможно.
",5,0.75
"Купила краску, которой всегда пользовалась - ""Фара"" И не поняла юмора, когда увидела только туб с краской и 2 пакетика с окислителем. Лучше бы вы подняли центу, чем это издевательство. Было удобно в домашних условиях смешивать краску  в бутыльке с окислителем и потом наносить на волосы. Использовала при этом этот бутылек и расческу. Сейчас же нужно переливать одно и другое в свою миску наносить на волосы кистью, что не очень удобно.  Очень разочарована. Придется перейти на другой бренд. Видимо этого и добиваются производители.
",2,0.75
"Очень уютное и самое комфортабельное размещение в Козыревске) номера хостельного типа, кровати супер удобные, со шторочками для уюта)) всегда чисто и приятно находиться, душ и туалет в отличном состоянии🙂  Но самый шик - это кухня) предусмотрено всё для самостоятельного приготовления пищи: хорошая посуда, тарелки, вместительных холодильник, и самое главное - даже портативный кондиционер😱 он очень выручал в жаркую погоду🥵  Однозначно рекомендую к размещению🤗
",5,0.75
"Добрый день, хочу поделиться впечатлениями от отдыха в марте 2023 года . Очень уютный, небольшой пансионат с чистыми номерами и приветливыми горничными! Большое спасибо за лечение и  отношения врачей и медицинских сестер. Отдельная благодарность поварам👍🏻👏очень вкусно готовят! Особенно понравились запеканки, супы пюре, вторые блюда!  Доброжелательные девочки работают в ресторне! Спасибо за обслуживание🥰  Рекомендую отдых в осенне- весенние время, не пожалеете!
",5,0.75
"Для любителей петь однозначно рекомендую, хороший звук. Персонал приветливый, в баре хороший выбор напитков. Уютное место для отдыха компанией.
",5,0.75
"Заказывала песок.приятным удивлением было,что при заказе от 5 тонн доставка бесплатная.хочу отметить персонал,мало того,что заказ могла сделать по телефону,но т.к. люблю решать все вопросы лично,приехала и сделала заказ.персонал приятный,ответили на все вопросы и помогли с оформлением.в общем, я довольна,что обратилась в речной порт.
",5,0.75
"Заходили с мужем вчера в ТЦ ""Столица""  За шариками на день рождение дочери. \nОбслуживала молодая приятная девушка Светлана, всë рассказала, предложила свои варианты. В итоге остались довольны покупкой, обязательно вернëмся в следующий раз. Вот только бы ассортимента добавить побольше в этот магазин. 
",5,0.75
"Чёткие ребята! Ровные и прямые как моя идеально квадратная борода! Успехов! 
",5,0.75
"Уважаемые девочки, советую всем ! \nОгромная благодарность мастеру Екатерине, просто волшебные ручки 😍\nСкажу честно, я очень боялась идти на перманент губ, думала будет очень больно, но нет)) \nДовольна результатом, как слон 😁\n\nСпасибо Annuar, за Ваших лучших специалистов!) ❤️\nФото моих губ до и после, чтобы Вы понимали насколько крутой результат 😁
",5,0.75
"Все очень понравилось,дома современные.Жили в большом доме. Вся техника новая,посуда,посудомойка все имеется. Wi-Fi работал отлично. Всем остались довольны. Спасибо руководству за радушный прием.
",5,0.75
"Хорошее местечко - ""далече видно, далече"".\nТеплотрасса несколько портит вид(((
",5,0.75
"Здесь не только можно купить нужную запчасть для вашей иномарки, но и ещё можно найти специалиста, который произведёт замену вашей неисправной на новую!
",5,0.75
"Приезжали из другого региона с дочерью, очень классные специалисты, все сотрудники вежливые. Проверили зрение и изготовили двое очков одним днем. Очень быстро, спасибо
",5,0.75
"Завтракали 31.12.2022. Интересный интерьер, кухня изысканная, праздничное настроение было обеспечено. Ходим достаточно часто, любимое место для отдыха и встреч.
",5,0.75
